2,1,4,1,1,0,0,0,112,20,6,37,6,4,1047864,2015967,128.0462224,38.14263719
1,1,2,1,1,0,0,0,13163,3,6,37,12,4,948185,1739535,126.9276134,35.65062573
11,1,1,1,2,0,1,0,781,20,6,37,6,4,1134471,1683519,128.9760534,35.13791037
12,1,4,1,1,0,0,0,3,24,6,37,6,9,1119504,1961088,128.8545326,37.64150103
8,1,5,1,1,0,0,0,783,2,6,3,6,4,1133275,1678785,128.9621663,35.09539575
6,1,5,1,1,0,0,0,311,20,4,3,6,4,1154123,1750577,129.2043838,35.73947294
12,0,2,1,1,0,0,0,243,2,6,37,12,4,1125006,1693072,128.8736345,35.22524744
5,0,6,1,1,0,0,0,147,28,6,37,9,9,982256,1969980,127.2986363,37.72925453
6,1,1,1,1,0,0,0,310,16,6,37,6,4,1119498,1768313,128.8242378,35.90415666
10,0,3,1,1,0,0,0,10144,22,6,37,3,9,1145767,1726716,129.1076986,35.52568894
8,1,3,1,1,0,0,0,82,119,4,2,12,12,971166,1949775,127.1735833,37.54685848
11,0,0,2,2,0,0,0,2199,28,6,31,6,9,1069181,1729221,128.2633316,35.55657566
10,1,2,1,1,0,0,0,12139,28,6,37,3,9,944415,1576910,126.8967912,34.18402507
8,1,3,1,1,0,0,0,12124,119,6,31,6,12,902075,1708652,126.422032,35.3687183
8,1,1,1,1,0,0,0,334,119,6,15,9,15,1104993,1789607,128.6663535,36.09776721
5,0,4,1,1,0,0,0,1536,119,6,37,6,3,988889,1791023,127.376538,36.11614687
6,1,5,1,2,0,1,0,177,12,6,37,12,6,977386,2026216,127.2415995,38.23599299
9,0,0,1,1,0,0,0,1348,21,6,37,6,9,989757,1712079,127.3871977,35.40437378
12,0,4,1,2,1,0,0,895,21,6,37,6,9,958178,1956131,127.026193,37.60364868
10,0,4,1,1,0,0,0,1551,20,6,3,6,4,973070,1801780,127.2003949,36.2128173
5,0,3,1,1,0,0,0,13155,119,7,37,10,7,953008,1776696,126.9787032,35.98590765
12,1,5,1,1,0,0,0,1191,110,6,37,6,15,947686,1892348,126.9118297,37.02820558
12,0,3,1,2,0,1,0,1191,110,7,37,12,15,954859,1896167,126.9922439,37.06300239
1,0,6,1,3,2,0,0,2150,119,4,2,6,15,1075149,1709620,128.3273635,35.37942214
1,0,4,2,3,1,0,0,215,119,1,2,12,1,1078252,1671827,128.357931,35.03843746
5,1,3,1,3,2,0,0,1577,110,7,37,6,7,934518,1802850,126.7714237,36.22062102
12,0,0,1,6,2,3,0,1673,110,7,37,6,7,1028374,1836406,127.8169313,36.52493985
11,1,4,2,4,1,1,0,1272,2,0,31,6,4,962523,1639339,127.0905562,34.74781598
